get_info,get_aggregate,get_employees,get_salary,get_salary_aggregate,get_salary_employees,get_date,get_date_range_aggregate,get_date_range_employees,get_hierarchy_up,get_hierarchy_down
Is mr.{Louis Punjabhi|name} located from out of {state|state} ?,what's the {number of|function} people which are {from abroad|citizendesc},What are our {top|extreme} {10|sys_number} {oldest|extreme} workers?,{Marianne Eaton|name} {pay|money} amount info,what do {non us citizen|citizendesc} {make|money} on {average|function} {yearly|time_recur},get me the {non-citizens|citizendesc} {earning|money} the {max|extreme},,,get me a list of {immigrants|citizendesc} peoplethat have their {birthdays|dob} in the {1970's|time_interval},,who are all the employees that are under {Mia Brown|name}
what is the {performance|performance_score} of {ivan|name},whats the {number of|function} {non-citizen|citizendesc},who is not {divorced|maritaldesc},How much does {kara|name} get in {dollars|money}?,whats the {average|function} {pay|money} for {non-citizen|citizendesc} people,which {non-citizens|citizendesc} people {earns|money} the {most|extreme},,,which {immigrants|citizendesc} workers have a {birthday|dob} in {1960|time_interval},,get me a list of all of the employees that are under {Nan Singh|name}
"tell me, is {nan singh|name} {separated|maritaldesc}?",{how many|function} {from abroad|citizendesc},employees between the {ages|age} {34|sys_number} and {43|sys_number},What does {elizabeth meads|name}'s {money|money} look like?,how much do {immigrants|citizendesc} {earn|money} on {average|function} {hourly|time_recur},{earnings|money} of {eligible non-citizens|citizendesc} people,,,get me a list of {not citizens|citizendesc} peoplethat have their {birthdays|dob} in the {1970's|time_interval},,everyone working under {ivan rogers|name}
what is {thomas murray|name}'s {race|racedesc} ?,{number of|function} {not citizens|citizendesc} in the company,Which employees have been {let go|employment_action}?,Whats {Claudia Carr|name}'s {paycheck|money}?,{non-citizens|citizendesc} {pay|money} {sum|function},{not citizens|citizendesc} {salaries|money},,,Find me the names of {not citizens|citizendesc} {hired|employment_action} in {2013|sys_time},,get me anybody working under {mia brown|name}
did we {fire|employment_action} Mr. {mia|name},{total|function} {count of|function} {immigrant|citizendesc},employees who are {below|comparator} {56|sys_number} {years old|age}?,{earnings|money} of  {Lindsey|name},how much do {non-citizens|citizendesc} {earn|money} on {average|function} {hourly|time_recur},{from abroad|citizendesc} workers who {makes|money} the {least|extreme},,,which {citizen|citizendesc} employees have a {birthday|dob} in {1960|time_interval},,i want all the people that are working under {ivan rogers|name}
"tell me, is {Bartholemew Khemmich|name} {single|maritaldesc}?",{number of|function} {us citizen|citizendesc} at this org,Show me all of the {administrative assistant|position},"{Each year|time_recur}, how much does {ivan rogers|name} {earn|money}?",what do {non citizen|citizendesc} {make|money} on {average|function} {yearly|time_recur},find me the {non citizen|citizendesc} people {making|money} the {minimum|extreme},,,get me a list of {eligible non-citizens|citizendesc} employeesthat have their {birthdays|dob} in the {1970's|time_interval},,find me all of the employees that are working under {elizabeth|name}
who is {Mia|name},{number of|function} {from abroad|citizendesc} in the company,Which employees that are not {non citizen|citizendesc}?,{every year|time_recur} {paycheck|money} {Anna Von Massenbach|name},{non us citizen|citizendesc} {pay|money} {sum|function},{paychecks|money} {not a citizen|citizendesc},,,get me a list of {non-citizen|citizendesc} peoplethat have their {birthdays|dob} in the {1970's|time_interval},,
which {state|state}  is {Melisa|name} from,whats the {number of|function} {immigrant|citizendesc},Which employees are {terminated|employment_action}?,How much {salary|money} does {julia|name} {earn|money} from Cisco {every year|time_recur}?,how much do {us citizen|citizendesc} {earn|money} on {average|function} {hourly|time_recur},,,,Find me the names of {eligible non-citizens|citizendesc} {hired|employment_action} in {2013|sys_time},,
do you know about {Janet King|name},whats the {count of|function} workers that are {from abroad|citizendesc}?,{widowed|maritaldesc} employees,how much {money|money} does {Julia|name} make?,what do {immigrant|citizendesc} {make|money} on {average|function} {yearly|time_recur},,,,which {not citizens|citizendesc} people have a {birthday|dob} in {1960|time_interval},,
What is {janet king|name}'s level in the organization?,{how many|function} {immigrant|citizendesc} are working at this company,our {software engineer|position},{pay|money} {Donna Brill|name},what is the {average|function} {pay|money} for {non-citizens|citizendesc} employees,,,,{non-citizens|citizendesc} employees were {fired|employment_action} in the {last|date_compare} {five years|sys_duration}?,,
what is {ivan|name} department,{number of|function} {eligible non-citizens|citizendesc} in the company,All employees from the state of {north carolina|state},How much {money|money} does {nan singh|name} bring in {every year|time_recur}?,what is the {typical|function} {salary|money} of {not a citizen|citizendesc} people,,,,get me a list of {us citizen|citizendesc} employeesthat have their {birthdays|dob} in the {1970's|time_interval},,
Is {28|age} the {age of|age} {lauren mahoney|name}?,what's the {number of|function} employees which are {not citizens|citizendesc},employee with the {maximum|extreme} {age|age},{Luisa Monterro|name} {paycheck|money} info,how much do {non-citizens|citizendesc} {earn|money} on {average|function} {hourly|time_recur},,,,Find me the names of {non us citizen|citizendesc} {hired|employment_action} in {2013|sys_time},,
{ivan|name}'s {race|racedesc} is what,{number of|function} {non-citizen|citizendesc} at this org,employees in {production|department} department?,{Julia|name} {pay|money} info,{not a citizen|citizendesc} {earnings|money} {total|function},,,,which {immigrant|citizendesc} employees have a {birthday|dob} in {1960|time_interval},,
Does {Michael|name} {still work at|employment_status} Cisco?,{us citizen|citizendesc} {total|function} {count of|function},All the {April|sys_time} {birthdays|dob},{pay rate|money} of  {Julia|name},{immigrants|citizendesc} {pay|money} {sum|function},,,,Find me the names of {immigrants|citizendesc} {hired|employment_action} in {2013|sys_time},,
what is the {race|racedesc} of {nan|name},{non citizen|citizendesc} {total|function} {count of|function},{managers|position},{Keyla Del Bosque|name} {income|money},{non-citizens|citizendesc} {earnings|money} {total|function},,,,{immigrants|citizendesc} employees were {fired|employment_action} in the {last|date_compare} {five years|sys_duration}?,,
{guerry|name} {age|age},whats the {number of|function} {citizen|citizendesc},employees {older than|comparator} {34 years|sys_duration},{Bradley Knapp|name}s {each year|time_recur} {earners|money},{not citizens|citizendesc} {pay|money} {sum|function},,,,which {non us citizen|citizendesc} employees have a {birthday|dob} in {1960|time_interval},,
Is {Roxana|name} currently {divorced|maritaldesc}?,whats the {number of|function} {not a citizen|citizendesc},employee with the {max|extreme} {age|age},Ms.{Power|name}s {make|money} a lot {on a monthly basis|time_recur},whats the {average|function} {pay|money} for {from abroad|citizendesc} employees,,,,which {citizen|citizendesc} people {joined|employment_action} in {2012|sys_time},,
info for {Daniel|name},{number of|function} {not citizens|citizendesc} in the company,Which employees have recently began {working here|employment_action}?,What is {kristen squatrito|name}'s {income|money}?,,,,,{non citizen|citizendesc} employees were {fired|employment_action} in the {last|date_compare} {five years|sys_duration}?,,
Which {department|department} does {Janine|name} work for?,{how many|function} {immigrants|citizendesc},employee(s) are {white|racedesc}?,"{each week|time_recur} {earnings|money}, {Megan Faller|name}",,,,,{non us citizen|citizendesc} employees were {fired|employment_action} in the {last|date_compare} {five years|sys_duration}?,,
is {Ivan Rogers|name} {currently active|employment_status} or not,{number of|function} {citizen|citizendesc} in the company,Which employees have a {spouse|maritaldesc}?,How much {earning|money} does {Samuel MacLenivan rogers|name} {pay|money} from Cisco {on an hourly basis|time_recur}?,,,,,{not citizens|citizendesc} employees were {fired|employment_action} in the {last|date_compare} {five years|sys_duration}?,,
What's {Ashley Rose|name}'s {performance score|performance_score} is it {too early to review|performance_score} it?,{number of|function} {eligble non citizen|citizendesc} in the company,employees in their {30|sys_number}'s,{Kissy Sulljulia soto|name} {earning|money} amount info,,,,,{non-citizen|citizendesc} employees were {fired|employment_action} in the {last|date_compare} {five years|sys_duration}?,,
What is {Mia|name}'s employment status?,{how many|function} {us citizen|citizendesc} are working at this company,employee(s) are {asian|racedesc}?,{maruk|name} {incomes|money},,,,,which {non citizen|citizendesc} employees {joined|employment_action} in {2012|sys_time},,
What is {Nan|name}'s {position|position} ?,whats the {count of|function} employees that are {eligble non citizen|citizendesc}?,Which employee(s) {exeed expecations|performance_score} company's expectations?,What is {Lori Roby|name}'s {every year|time_recur} {pay|money},,,,,Find me the names of {non-citizens|citizendesc} {hired|employment_action} in {2013|sys_time},,
Get me the reason for {ludwick harrell|name}'s {termination|employment_action}?,{number of|function} {non citizen|citizendesc} at this org,who is doing {software engineering manager|position} at this company?,Tell me how much {Anthony Cisco|name} {earns|money},,,,,,,
position of {Ivan Rogers|name},{number of|function} {non-citizens|citizendesc} at this org,who is {lead|manager} {accountant i|position}?,How much does Cisco give {Julia|name} in {compensation|money} {every year|time_recur}?,,,,,,,
what is {Nan Singh|name}s {race|racedesc},{how many|function} {not citizens|citizendesc} are working at this company,employees {executive office|department} dept?,{Josephine Bugali|name} {money|money} {on the hour|time_recur},,,,,,,
{mia|name}'s {department|department} is what,{number of|function} {non citizen|citizendesc} in the company,who is {widowed|maritaldesc},{Nicole|name} {makes|money} amount {each week|time_recur},,,,,,,
how did {dawn|name} hear about our corporation,what's the {number of|function} people which are {non-citizen|citizendesc},{CA|state} employees,{incomes|money} {ivan rogers Brown|name},,,,,,,
What's the {performance|performance_score} of {ivan|name},{number of|function} {non-citizens|citizendesc} in the company,{IT Support|position} employees,How much does {Michael|name} {make|money}?,,,,,,,
can you desribe the {race|racedesc} of {julia Singh|name},{number of|function} {citizen|citizendesc} at this org,employees have been {let go|employment_action}?,What does {Phylicia Gosciminski|name} get for {money|money}?,,,,,,,
is {Nan|name} in the {Admin Offices department|department},{non-citizens|citizendesc} {total|function},{divorced|maritaldesc} employees,{money|money} {Judith Carabbio|name},,,,,,,
what's {Louis Punjabhi|name}'s employment status,whats the {count of|function} employees that are {immigrant|citizendesc}?,workers doing {it manager - support|position},"Does {23,240|sys_number} exceed what {webster|name} has for {income|money} {each month|time_recur}?",,,,,,,
which branch is the one that {Brannon Miller|name} works in,whats the {number of|function} {eligible non-citizens|citizendesc},who is not {married|maritaldesc},{Mei Trang|name}'s {every month|time_recur} {earnings|money},,,,,,,
What does {Caroline|name} do?,{number of|function} {non citizen|citizendesc} in the company,employees that are {separated|maritaldesc},Tell me who earned the {most|extreme} that has  {been here|employment_action} {this year|sys_time}?,,,,,,,
tell me the {race|racedesc} of {mia|name},{total|function} {count of|function} {citizen|citizendesc},{ID|state} employees listed,What is Mrs.{Williams|name}'s {money|money}?,,,,,,,
who is {kristen|name}?,{how many|function} {non-citizen|citizendesc},employees that live in {VT|state},What is {Constance Sloan|name} {paycheck|money} on a {each day|time_recur} basis?,,,,,,,
Find me {Josephine|name}'s {race|racedesc},{number of|function} {not a citizen|citizendesc} in the company,Which employees are not {US citizens|citizendesc}?,Describe {Ivan|name}'s {paycheck|money},,,,,,,
Whats {Ermine|name}'s employment status?,{number of|function} {eligble non citizen|citizendesc} at this org,list of {managers|position},{earn|money} of  {Taylor sparks|name},,,,,,,
{williams|name}'s {department|department} is what,{immigrant|citizendesc} {total|function} {count of|function},{it support|position} list,{Gerry|name} {income|money} {each hour|time_recur},,,,,,,
Is Ms.{dolan|name}'s {race|racedesc} {asian|racedesc}?,{how many|function} {not citizens|citizendesc},Which employees are {active|employment_status}?,,,,,,,,
Is {Sarah|name}'s {race|racedesc} {white|racedesc}?,whats the {count of|function} people that are {immigrants|citizendesc}?,Which employees are {managers|position}?,,,,,,,,
Tell me the {position|position}  is {kamrin sander|name} in?,what's the {number of|function} employees which are {non citizen|citizendesc},{network engineer|position} employees,,,,,,,,
what is {bruno|name}'s {position|position},whats the {count of|function} people that are {immigrant|citizendesc}?,Show {married|maritaldesc} employees,,,,,,,,
Why was {Melinda Saar-Beckles|name} {terminated|employment_action}?,what's the {number of|function} workers which are {non us citizen|citizendesc},{network engineers|position},,,,,,,,
Tell me {Betsy Bondwell|name}'s employment status?,what's the {number of|function} workers which are {non-citizen|citizendesc},{non citizen|citizendesc} employees,,,,,,,,
Why and when did {Rex England|name} get {join|employment_action}?,{number of|function} {eligible non-citizens|citizendesc} at this org,employees that work as an {sales manager|position},,,,,,,,
Is {Jyoti|name} {widowed|maritaldesc} or {single|maritaldesc}?,whats the {number of|function} {citizen|citizendesc},Show me the employees who are {widowed|maritaldesc},,,,,,,,
give me {Mia Brown|name}'s {race|racedesc} please,{how many|function} {non-citizens|citizendesc},who is {working for|manager} {director of sales|position}?,,,,,,,,
Is {julia soto|name} {actively employed|employment_status}?,what's the {number of|function} people which are {eligble non citizen|citizendesc},i want the {maximum|extreme} {third|sys_ordinal} of employees,,,,,,,,
How did {Morissa Power|name} hear about our company?,{how many|function} {eligble non citizen|citizendesc},Which employees are {sr. dba|position}?,,,,,,,,
desribe the {race|racedesc} of {april evensen|name},whats the {count of|function} people that are {from abroad|citizendesc}?,employees that are {divorced|maritaldesc},,,,,,,,
is {francesco barone|name} a {non-citizen|citizendesc},{how many|function} {not a citizen|citizendesc} are working at this company,{manager|position} employees,,,,,,,,
Was {beatrice|name} {fired|employment_action} due to {performance reasons|reason_for_termination}?,what's the {number of|function} employees which are {us citizen|citizendesc},Which employees have been {terminated|employment_action}?,,,,,,,,
{Mia|name} is who,whats the {number of|function} {immigrants|citizendesc},{us citizen|citizendesc}s employee list,,,,,,,,
get me that {state|state}  that {Nan|name} is from,{how many|function} {eligible non-citizens|citizendesc},provide me a list of {sr. accountant|position},,,,,,,,
How {old|age} is the {mia|name}?,{how many|function} {from abroad|citizendesc} are working at this company,Which employees are {married|maritaldesc}?,,,,,,,,
Where does {ivan rogers|name} live?,{number of|function} {eligble non citizen|citizendesc} in the company,Who is our {oldest|extreme} employee?,,,,,,,,
What does {Ivan|name} do?,{how many|function} {not a citizen|citizendesc},Which employees are {US citizens|citizendesc}?,,,,,,,,
whats {enola chivukula|name}'s current {position|position} ?,{number of|function} {immigrant|citizendesc} in the company,employees {younger than|comparator} {54 years|sys_duration},,,,,,,,
where is {Eric|name} from,what's the {number of|function} people which are {immigrant|citizendesc},who was {fired|employment_action},,,,,,,,
what is {george|name}'s department,{number of|function} {not a citizen|citizendesc} at this org,who was {hired|employment_action},,,,,,,,
is {sophia theamstern|name} a {non citizen|citizendesc},{number of|function} {non-citizens|citizendesc} at this org,who wasn't {fired|employment_action},,,,,,,,
is {mia|name} {female|sex} or {female|sex},{from abroad|citizendesc} {total|function} {count of|function},who wasn't {hired|employment_action},,,,,,,,
Whats {brandon|name}'s level in the organization?,{number of|function} {immigrant|citizendesc} at this org,who is the {ceo|position}?,,,,,,,,
is anyone called {mia|name},whats the {number of|function} {immigrants|citizendesc},the {ceo|position} is who?,,,,,,,,
what does {brooke oliver|name} do,{how many|function} {non us citizen|citizendesc},the {highest ranked|position} employee,,,,,,,,
inform me of the {performance|performance_score} of {mia|name},{number of|function} {from abroad|citizendesc} at this org,{ceo|position},,,,,,,,
what is the {age|age} of {nan|name},,{highest ranked|position} employee,,,,,,,,
is {Lowan Biden|name} based in {TN|state},,employee that is {highest ranked|position},,,,,,,,
Show the {state|state}  that {Rosalie Hutter|name} is from,,who is the {CEO|position} of the company?,,,,,,,,
you tell me something about {Daniel|name}?,,who is the {CEO|position} of the organization?,,,,,,,,
What does {Colombui|name} do?,,who's the {CEO|position} of the org?,,,,,,,,
is Mr.{julia soto|name} based in {Oregon|state},,whos the {CEO|position} of the org,,,,,,,,
whats {simon|name}'s {job title|position},,whose the {ceo|position} in our org,,,,,,,,
Is {mia brown|name} {on a leave of absence|employment_status}?,,who works here,,,,,,,,
{Bradley|name} is whom,,who are the employees that work here,,,,,,,,
Which {department|department} is the one that {thomas|name} works for?,,which employees work here,,,,,,,,
does {geoff|name} live in {CO|state},,which people work here,,,,,,,,
tell me about spiderman,,what people work here,,,,,,,,
What's {jeremiah semizoglou|name}'s level in the organization?,,who are those people that work here,,,,,,,,
job title {mia|name},,names of people that work here,,,,,,,,
Does {tyrone|name}'s {race|racedesc} affect her indulgence?,,employees that work here,,,,,,,,
I want {sarah warfield|name}'s {state|state},,list of employees  that are working here ,,,,,,,,
what do you know about {Daniel|name},,who is currently working at this company,,,,,,,,
is the {job title|position}  of {adeel osturnka|name} a {shared services manager|position},,who currenlty works for this org,,,,,,,,
What is {Hakim|name}'s level in the organization?,,who works for this organization,,,,,,,,
Where is {julia soto|name} from?,,employees that have a job at this organizaiton,,,,,,,,
who is {Morissa|name}?,,which employees have a position at this company,,,,,,,,
what is {ivan|name}'s {job title|position},,who's  {married|maritaldesc},,,,,,,,
{miguel|name}'s {position|position}  is what,,who is {married|maritaldesc},,,,,,,,
why did we {hire|employment_action} {Quinn Rarrick|name},,is anyone {married|maritaldesc},,,,,,,,
did {Maruk|name} hear about us through {monster.com|employee_source}?,,is there anyone who is {married|maritaldesc},,,,,,,,
"tell me, is {Michael|name} a {bachelor|maritaldesc}?",,is there anyone that is {married|maritaldesc},,,,,,,,
what is {shakira|name}'s {position|position},,is anyone thats {married|maritaldesc},,,,,,,,
what is {ivan|name}'s {job title|position},,people who are {married|maritaldesc},,,,,,,,
Where is {francesco barone|name} from?,,people who are {married|maritaldesc},,,,,,,,
Is {Michael|name} {married|maritaldesc}?,,the {highest ranking|position} employee,,,,,,,,
is {Tanya|name} in the {software engineering|department} dept,,who is the {highest ranking|position} employee,,,,,,,,
anyone known by {Jennifer|name},,find me the {highest ranking|position} employee,,,,,,,,
who is {lynn daneault|name},,{highest ranking|position} person in the company,,,,,,,,
Is {Anna Von Massenbach|name}'s {race|racedesc} {asian|racedesc}?,,{highest ranking|position} people in the company,,,,,,,,
what's {Shakira|name}'s {role|position}  at the organization,,{highest ranking|position} employees in the company,,,,,,,,
whats the {performance|performance_score} of {ivan|name},,who is the {highest ranking|position},,,,,,,,
"What is {brooke oliver|name}'s score, is it {meeting 90-day expectations|performance_score}?",,is there anyone {older than|comparator} {67|sys_number} {of age|age},,,,,,,,
{Nori Sewkumar|name} {occupation|position}  title?,,is there anyone {older than|comparator} {67|sys_number},,,,,,,,
what does {Jene'ya|name} do,,people {older than|comparator} {54|sys_number} {of age|age},,,,,,,,
Which {department|department} is {adrienne homberger|name} in?,,employees {older than|comparator} {67|sys_number} {of age|age},,,,,,,,
What's {jacquelyn|name}s {job title|position},,anybody {older than|comparator} {67|sys_number} {years old|age}?,,,,,,,,
{Melinda Saar-Beckles|name} {state|state},,who all are {older than|comparator} {29|sys_number},,,,,,,,
What is {Lisa|name}'s {job title|position}?,,anyone here {younger than|comparator} {67|sys_number},,,,,,,,
{taylor sparks|name}'s {state|state},,"{younger than|comparator} {12|sys_number} {years old|age}, is there anyone?",,,,,,,,
{Mei|name} {sex|sex},,list of {non citizen|citizendesc} at this company,,,,,,,,
What is {Daniff Hernandez|name}'s {role|position}?,,peoplewho are {non-citizen|citizendesc},,,,,,,,
{marianne|name}'s {race|racedesc},,list of {citizen|citizendesc} at this company,,,,,,,,
What is {Jeanette Tippett|name}'s {position|position}?,,{non citizen|citizendesc},,,,,,,,
{brigit mccarthy|name} {role|position},,list of {immigrants|citizendesc} at this company,,,,,,,,
What is {Daniel Davis|name}'s {role|position}?,,{immigrants|citizendesc},,,,,,,,
{Sandy|name} {employment status|employment_status},,{immigrant|citizendesc} employees,,,,,,,,
{Barry Wilber|name} {job|position},,employeeswho are {non us citizen|citizendesc},,,,,,,,
{william|name} {gender|sex},,{from abroad|citizendesc},,,,,,,,
{enola chivukula|name}'s {department|department},,list of {immigrant|citizendesc} at this company,,,,,,,,
{occupation|position} of {renee becker|name},,which are the employeesthat are {immigrants|citizendesc},,,,,,,,
{marilyn|name} {role|position},,which are the peoplethat are {not a citizen|citizendesc},,,,,,,,
{sex|sex} that {julia|name} is,,who are the {non-citizen|citizendesc},,,,,,,,
{department|department} of {lisa|name},,{non-citizens|citizendesc},,,,,,,,
{lily|name}'s {job|position},,which are the employeesthat are {non us citizen|citizendesc},,,,,,,,
What is {kelley spirea|name}'s {job|position}?,,list of {non us citizen|citizendesc} at this company,,,,,,,,
what's {renee becker|name}s {department|department},,workerswho are {citizen|citizendesc},,,,,,,,
what's {josephine|name}'s' {gender|sex},,who are the {immigrants|citizendesc},,,,,,,,
What's {luke patronick|name}s {position|position},,which are the peoplethat are {eligible non-citizens|citizendesc},,,,,,,,
{role|position} of {Catherine|name},,who are the {eligble non citizen|citizendesc},,,,,,,,
{abdellah|name} {gender|sex},,employeeswho are {non-citizens|citizendesc},,,,,,,,
what's {Barbara|name}s {dept|department},,{citizen|citizendesc},,,,,,,,
{sandy mckenna|name}'s {position|position},,peoplewho are {non-citizens|citizendesc},,,,,,,,
{gender|sex} that {Scott Whittier|name} is,,which workers are {immigrant|citizendesc},,,,,,,,
{occupation|position} of {Taisha|name},,{eligible non-citizens|citizendesc} people,,,,,,,,
{walter|name} {job title|position},,who are the {us citizen|citizendesc},,,,,,,,
what's the {sex|sex} of {Courtney|name},,{us citizen|citizendesc} employees,,,,,,,,
{gender|sex} that {sean quinn|name} is,,list of {immigrant|citizendesc} at this company,,,,,,,,
{April|name}'s {state|state},,{eligible non-citizens|citizendesc},,,,,,,,
{Donald|name}'s {job title|position},,{not a citizen|citizendesc} employees,,,,,,,,
{Judith Carabbio|name} {sex|sex},,which are the employeesthat are {not a citizen|citizendesc},,,,,,,,
{dept|department} of {louis|name},,{immigrant|citizendesc} workers,,,,,,,,
{Christie|name} {department|department},,which workers are {not a citizen|citizendesc},,,,,,,,
what {state|state} is {Neville|name} from?,,{eligible non-citizens|citizendesc} workers,,,,,,,,
{Linda|name} {position|position},,which people are {from abroad|citizendesc},,,,,,,,
{jonathan|name} {department|department},,{non-citizen|citizendesc} workers,,,,,,,,
{megan faller|name} {department|department},,which are the peoplethat are {immigrants|citizendesc},,,,,,,,
What's {Lowan|name}s {job|position},,list of {eligble non citizen|citizendesc} at this company,,,,,,,,
{hong|name} {employment status|employment_status},,{immigrants|citizendesc},,,,,,,,
What is {jayne horton|name}'s {race|racedesc}?,,{not citizens|citizendesc} people,,,,,,,,
whats {Jenna|name} {role|position}?,,workerswho are {from abroad|citizendesc},,,,,,,,
{julissa hunts|name} {employment status|employment_status},,{non citizen|citizendesc} people,,,,,,,,
{status of employment|employment_status} that {latia|name} is in,,which are the workersthat are {eligble non citizen|citizendesc},,,,,,,,
whats {Lynn O'hare|name} {job title|position}?,,which are the workersthat are {eligible non-citizens|citizendesc},,,,,,,,
what's {debbie|name}'s' {gender|sex},,{non-citizens|citizendesc} people,,,,,,,,
whats {Patrick|name}'s {department|department}?,,{non us citizen|citizendesc} workers,,,,,,,,
What's {ashley|name}s {position|position},,which workers are {eligible non-citizens|citizendesc},,,,,,,,
What is {Luisa Monterro|name}'s {occupation|position}?,,{not citizens|citizendesc},,,,,,,,
What is {Miguel Estremera|name}'s {occupation|position}?,,which people are {us citizen|citizendesc},,,,,,,,
what's {Michael|name}'s' {gender|sex},,workerswho are {non us citizen|citizendesc},,,,,,,,
{sex|sex} that {jean crimmings|name} is,,{not a citizen|citizendesc} workers,,,,,,,,
{Julia|name} {job|position},,which employees are {eligble non citizen|citizendesc},,,,,,,,
What is {Luisa Monterro|name}'s {race|racedesc}?,,which are the peoplethat are {citizen|citizendesc},,,,,,,,
{gender|sex} that {May|name} is,,{non us citizen|citizendesc},,,,,,,,
{angela erilus|name} {dept|department},,which are the workersthat are {non-citizens|citizendesc},,,,,,,,
What's {Nina Panjwani|name}s {job title|position},,{us citizen|citizendesc},,,,,,,,
{occupation|position} of {Judith Carabbio|name},,{non us citizen|citizendesc} employees,,,,,,,,
{Thelma Petrowsky|name}'s {job title|position},,which are the peoplethat are {immigrant|citizendesc},,,,,,,,
whats {susan ferguson|name}'s {department|department}?,,workerswho are {immigrant|citizendesc},,,,,,,,
What is {rex|name}'s {occupation|position}?,,employeeswho are {non-citizen|citizendesc},,,,,,,,
{Neville Tredinnick|name}'s {role|position},,{eligible non-citizens|citizendesc},,,,,,,,
What is {lily dinocco|name}'s {position|position}?,,who are the {us citizen|citizendesc},,,,,,,,
What is {Patrick|name}'s {race|racedesc}?,,which are the employeesthat are {immigrant|citizendesc},,,,,,,,
{Howard|name} {gender|sex},,employeeswho are {immigrants|citizendesc},,,,,,,,
{carl|name} {job title|position},,which are the peoplethat are {from abroad|citizendesc},,,,,,,,
{Daniff|name}'s {position|position},,list of {non us citizen|citizendesc} at this company,,,,,,,,
what's {Alex Gilles|name}'s {race|racedesc},,peoplewho are {not a citizen|citizendesc},,,,,,,,
whats {Ricardo|name} {role|position}?,,list of {immigrants|citizendesc} at this company,,,,,,,,
{peter monroe|name}'s {dept|department},,which people are {non-citizens|citizendesc},,,,,,,,
{race|racedesc} of {eric|name},,{non-citizen|citizendesc},,,,,,,,
{Walter|name}'s {dept|department},,,,,,,,,,
{May Roberson|name}'s {status of employment|employment_status},,,,,,,,,,
{Estelle Howard|name}'s {role|position},,,,,,,,,,
{Sandy|name} {state|state},,,,,,,,,,
{employment status|employment_status} of {Jenna|name},,,,,,,,,,
what's the {gender|sex} of {Trina|name},,,,,,,,,,
{Neville|name}'s {status of employment|employment_status},,,,,,,,,,
What's {marianne eaton|name}s {occupation|position},,,,,,,,,,
{state|state} that {Jyoti|name} is in,,,,,,,,,,
{Bruno Rossetti|name} {gender|sex},,,,,,,,,,
{April|name}'s {status of employment|employment_status},,,,,,,,,,
{Lisa|name}'s {role|position},,,,,,,,,,
What is {Carlos Merlos|name}'s {race|racedesc}?,,,,,,,,,,
{job title|position} of {Lenora Tejeda|name},,,,,,,,,,
what {state|state} is {Ketsia Liebig|name} from?,,,,,,,,,,
what's {Kathleen Kinsella|name}'s {race|racedesc},,,,,,,,,,
{kristen|name} {job title|position},,,,,,,,,,
What is {jessica bunbury|name}'s {occupation|position}?,,,,,,,,,,
{april|name}'s {job title|position},,,,,,,,,,
what is the {employment status|employment_status} of {Betsy|name},,,,,,,,,,
{Jean|name}'s {position|position},,,,,,,,,,
{state|state} of {Luisa|name},,,,,,,,,,
{position|position} of {adell saada|name},,,,,,,,,,
{dept|department} of {brigit|name},,,,,,,,,,
{role|position} of {keyla del|name},,,,,,,,,,
{dept|department} of {Anita Shepard|name},,,,,,,,,,
what's {Leigh Smith|name}s {department|department},,,,,,,,,,
What's {Mildred Gentry|name}s {position|position},,,,,,,,,,
{alain|name}'s {race|racedesc},,,,,,,,,,
{noah|name} {occupation|position},,,,,,,,,,
whats {Ricardo Ruiz|name} {job|position}?,,,,,,,,,,
whats {Mildred|name} {race|racedesc}?,,,,,,,,,,
What is {carla demita|name}'s {position|position}?,,,,,,,,,,
{sex|sex} that {Jayne Horton|name} is,,,,,,,,,,
What is {julia|name}'s {job|position}?,,,,,,,,,,
{position|position} of {Sandra|name},,,,,,,,,,
{enola chivukula|name}'s {position|position},,,,,,,,,,
{role|position} of {richard|name},,,,,,,,,,
What is {Joseph|name}'s {role|position}?,,,,,,,,,,
What is {Angela Erilus|name}'s {race|racedesc}?,,,,,,,,,,
whats {Anthony|name}'s {dept|department}?,,,,,,,,,,
{kathleen|name}'s {race|racedesc},,,,,,,,,,
what's {samuel maclennan|name}'s' {sex|sex},,,,,,,,,,
What is {jenna dietrich|name}'s {role|position}?,,,,,,,,,,
What is {karen|name}'s {race|racedesc}?,,,,,,,,,,
{bruno rossetti|name} {role|position},,,,,,,,,,
{Jene'ya Darson|name} {employment status|employment_status},,,,,,,,,,
What is {ebonee peterson|name}'s {job|position}?,,,,,,,,,,
{role|position} of {Travis|name},,,,,,,,,,
What is {donald|name}'s {race|racedesc}?,,,,,,,,,,
{trina alagbe|name}'s {occupation|position},,,,,,,,,,
what's the {gender|sex} of {Barbara Gaul|name},,,,,,,,,,
{janet king|name} {gender|sex},,,,,,,,,,
what's {Melisa Gerke|name}'s' {sex|sex},,,,,,,,,,
{geoff|name} {employment status|employment_status},,,,,,,,,,
what's {trina|name}s {dept|department},,,,,,,,,,
what is the {employment status|employment_status} of {marilyn linares|name},,,,,,,,,,
What's {Sneha Jhaveri|name}s {job title|position},,,,,,,,,,
What's {Nicole Fancett|name}s {occupation|position},,,,,,,,,,
{gender|sex} of {Roxana|name},,,,,,,,,,
What is {Karthikeyan Ait|name}'s {job title|position}?,,,,,,,,,,
{robyn|name} {employment status|employment_status},,,,,,,,,,
